question_id	category	question	answer_count	pairwise_count	similarity_mean	similarity_min	similarity_max	similarity_std	consistency_level
SIM001	발파	발파 작업 전 안전점검은 어떻게 해야 해?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM002	불발	불발 장약이 의심될 때 어떻게 조치해야 해?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM003	유해가스	갱내 메탄가스 농도가 높게 나오면 어떻게 해야 해?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM004	분진/보호구	분진이 많은 굴진 작업에서 방진마스크는 어떻게 관리해야 해?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM005	낙반/붕락	낙반 위험이 있는 막장에서 작업을 계속해도 되는지 판단해줘.	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM006	전기설비	갱내 전기설비 점검 시 주의사항은 뭐야?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM007	운반/통행	운반장비와 작업자가 같은 통로를 이용할 때 안전조치는 뭐야?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM008	중대재해처벌법	중대재해 발생 시 사업주와 경영책임자는 무엇을 해야 해?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM009	TBM	작업 전 TBM에서 반드시 확인해야 할 사항은 뭐야?	5	10	100.0	100.0	100.0	0.0	매우 높음
SIM010	환기	환기 불량이 의심되는 갱내 작업장에서 우선 조치는 뭐야?	5	10	100.0	100.0	100.0	0.0	매우 높음
									
OVERALL					100.0				매우 높음
